variant,annual,sharpe,sortino,mdd,calmar,win_rate,vol,final,slip_bps_sum,n_trades,median_adv20,gate_drops,mean_slip_bps,median_adv20_across_rebal
baseline_sp500only_secmap,0.2696,0.7568,1.0491,-0.4241,0.6357,0.5069,0.3398,1378828.07,24688.729719099505,544,"[54864842.06207619, 53141068.30027342, 55605467.528419495, 54725926.564941406, 59787274.07211304, 65531785.41156769, 61946310.868673325, 62257503.976135254, 66787705.97411561, 67487758.24123383, 69450103.70109558, 72236188.0582428, 84146607.71894455, 88076445.37807465, 83846004.95510101, 88564130.63755035, 82241013.48350525, 84187200.19916534, 87232324.3273735, 82507732.89138794, 120238772.05467224, 106324566.01894379, 93745149.5192051, 98983127.2158432, 125650647.56710052, 128244231.62910461, 127923430.36775589, 119017983.88576508, 142708131.20895386, 123398220.50453186, 122304091.94942474, 107733691.97141647, 132588736.25977993, 132862238.8312149, 123500244.9332428, 135283492.82634735, 152407054.59014893, 155833616.14585876, 155006297.943058, 158670959.16318893, 200803890.56577682, 201722611.15989685, 221996254.20355797]",0,45.38369433657997,98983127.2158432
fixed_full_secmap,0.2499,0.703,0.9985,-0.4911,0.5089,0.5051,0.3466,1161081.11,26594.737032538862,540,"[54864842.06207619, 53141068.30027342, 55605467.528419495, 54725926.564941406, 59787274.07211304, 65531785.41156769, 61946310.868673325, 62257503.976135254, 66787705.97411561, 67487758.24123383, 69450103.70109558, 72236188.0582428, 84146607.71894455, 88076445.37807465, 83846004.95510101, 88564130.63755035, 82241013.48350525, 84187200.19916534, 87232324.3273735, 82507732.89138794, 120238772.05467224, 106324566.01894379, 93745149.5192051, 98983127.2158432, 125650647.56710052, 128244231.62910461, 127923430.36775589, 119017983.88576508, 142708131.20895386, 123398220.50453186, 122304091.94942474, 107733691.97141647, 132588736.25977993, 132862238.8312149, 123500244.9332428, 135283492.82634735, 152407054.59014893, 155833616.14585876, 155006297.943058, 158670959.16318893, 200803890.56577682, 201722611.15989685, 221996254.20355797]",0,49.24951302322012,98983127.2158432
